
:TEMPLATE=$SBE_FR
:Tagname,TXT.XDWN,TXT.XINT1,TXT.XINT2,TXT.XINT3,TXT.XINT4,TXT.XINT5,TXT.XINT6,TXT.XINT7,TXT.XINT8
C8259_PU04_MO01,,,,,0,0,0,0,0
C8259_PU05_MO01,C8259_BV10_FB02,,,,0,0,0,0,0
C8259_CH01_DO01,,,,,0,0,0,0,0
C8259_SCW01_MO01,,,,,0,0,0,0,0
C8260_CN01_MO01,,,,,0,0,0,0,0
C8260_LF01_MO01,,,,,0,0,0,0,0
C8260_FA01_MO01,,,,,0,0,0,0,0
C8260_BE01_MO01,,,,,0,0,0,0,0
C8270_DE01_MO01,,Chainguard,,,0,0,0,0,0
C8270_SCW01_MO01,,Scale Comms,,,0,0,0,0,0
C8822_CN01_MO01,,,,,0,0,0,0,0
C8822_SCW01_MO01,C8822_CM01_MO01,,,,0,0,0,0,0
C8822_CM01_MO01,C8828_SI01_MO01,,,,0,0,0,0,0
C8822_CM01_MO02,,,,,0,0,0,0,0
C8822_CM01_MO03,,,,,0,0,0,0,0
C8828_SI01_MO01,,,,,0,0,0,0,0
C8828_DE01_MO01,,,,,0,0,0,0,0
C8828_SCW01_MO01,C8828_SI02_MO01,,,,0,0,0,0,0
C8828_SI02_MO01,,,,,0,0,0,0,0
C8828_FA01_MO01,,,,,0,0,0,0,0
C8828_FI01_MO01,,Blocked,,,0,0,0,0,0
C8833_RV01_MO01,,,,,0,0,0,0,0
C8833_SCW01_MO01,,,,,0,0,0,0,0
C8835_TA01_MX01_MO01,,,,,0,0,0,0,0
C8835_PU01_MO01,,,,,0,0,0,0,0
C8836_MX01_MO01,,,,,0,0,0,0,0
C8838_VB01_MO01,C8838_EV01_MO01,,,,0,0,0,0,0
C8838_EV01_MO01,,,,,0,0,0,0,0
C3301_PU01_MO01,C3301_BV01_FB02,,,,0,0,0,0,0
C3301_PU02_MO01,,,,,0,0,0,0,0
C3801_PU01_MO01,C3801_BV01_FB02,,,,0,0,0,0,0
C3801_PU02_MO01,C3801_BV02_FB02,,,,0,0,0,0,0
C3801_PU03_MO01,C3801_BV03_FB02,,,,0,0,0,0,0
C3802_TA01_MX01_MO01,,,,,0,0,0,0,0
C3802_TA02_MX01_MO01,,,,,0,0,0,0,0
C3802_TA03_MX01_MO01,,,,,0,0,0,0,0
